"Reservation ID","Date","Parking Location","Spot ID","Start Time","End Time","Duration (Hours)","Cost (Rs)","Status","Lot Address","Generated On"
"15","31/07/25","Connaught place","163","02:04:27","Still Active","Active","0","Active","Connaught Place, New Delhi","31-07-2025 02:04:36 IST"
"13","30/07/25","Uptown","27","20:20:51","22:03:32","1.71","85.58","Completed","upside","31-07-2025 02:04:36 IST"
"12","30/07/25","Test Location","1","20:20:21","20:20:49","0.01","0.23","Completed","Test Avenue","31-07-2025 02:04:36 IST"
"11","30/07/25","Test Location","1","19:48:52","20:20:18","0.52","15.72","Completed","Test Avenue","31-07-2025 02:04:36 IST"
"10","30/07/25","Test Location","1","19:42:23","19:42:34","0.0","0.08","Completed","Test Avenue","31-07-2025 02:04:36 IST"
"9","30/07/25","Downtown","64","19:42:09","19:42:21","0.0","0.15","Completed","4th avenue","31-07-2025 02:04:36 IST"
"8","30/07/25","Downtown","64","19:30:19","19:42:01","0.19","8.77","Completed","4th avenue","31-07-2025 02:04:36 IST"
"7","30/07/25","Uptown","27","17:31:33","19:30:10","1.98","98.84","Completed","upside","31-07-2025 02:04:36 IST"
"6","30/07/25","Uptown","27","17:01:31","17:31:26","0.5","24.94","Completed","upside","31-07-2025 02:04:36 IST"
"4","30/07/25","Uptown","28","15:54:29","16:55:41","1.02","51.0","Completed","upside","31-07-2025 02:04:36 IST"
"3","30/07/25","Test Location","1","15:17:11","15:54:22","0.62","18.59","Completed","Test Avenue","31-07-2025 02:04:36 IST"

"SUMMARY REPORT","","","","","","","","","",""
"Total Reservations","11","","","","","","","","",""
"Total Amount Spent","Rs. 303.90","","","","","","","","",""
"Total Parking Hours","6.55","","","","","","","","",""
"Average Cost per Hour","Rs. 46.40","","","","","","","","",""
"NOTE: If dates show as ####, double-click column border to auto-fit","","","","","","","","","",""
